	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.f.1.SmLE.PZQ.ER.RNA.juv.f.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.juv.f.1.SmLE.PZQ.ES.RNA.juv.f.1_rsem.genes.results_Mean
gene:Smp_344040	0.999999999999999	1.03935660219028e-15	0.742664612287996	0.703723054146278	2.26894246153036	3.2284081324365
gene:Smp_344050	0.887553991871154	0.112446008128846	0.802862118565327	0.801918328166669	82.0761833089254	102.352273595354
gene:Smp_344060	0.080456298450974	0.919543701549026	1.10978707021381	1.10980692644931	3007.08469791022	2709.55562465423
gene:Smp_344070	0.976187507781182	0.0238124922188183	0.340884533167398	0.155782116170901	0.26183940174615	1.73499749026344
gene:Smp_344080	0.999999999996733	3.26690666357477e-12	0.870419316098287	0.870340729596681	703.267969345959	808.039015093044
gene:Smp_344090	0.809843394843445	0.190156605156555	1.1884390209977	1.18851125196242	1519.47394264932	1278.4666994342
gene:Smp_344100	0.989682656597916	0.0103173434020844	1.01130378221918	1.01130987957322	918.771013131504	908.495920578205
gene:Smp_344110	1	5.3592719953654e-17	1.00055051163494	1.00055101601616	535.160577665315	534.865852503931
gene:Smp_344120	0.999999999999999	5.15857882017553e-16	0.784194387973919	0.777955637934564	13.1775881198748	16.9415939943405
gene:Smp_344130	0.999999999999999	1.1297232597055e-15	0.818023541424491	0.81695426369685	68.1246179824913	83.3907740827145
gene:Smp_344140	0.999999999999999	1.02862272649783e-15	0.884122385339945	0.883891025994526	216.938483053176	245.43709321952
gene:Smp_344150	1	1.98802791593209e-16	0.93523838060512	0.934526945447135	41.6788195406879	44.5995425538976
gene:Smp_344160	0.999999999999958	4.18734473399371e-14	0.600866771721222	0.594271206944433	17.6136547727671	29.6459122616468
gene:Smp_344170	0.896460709555906	0.103539290444094	0.825413574927098	0.824792442774747	113.59999165476	137.733734984472
gene:Smp_344180	1	2.66371763707158e-16	0.92663879931353	0.926510581903733	259.775680417514	280.381487686761
gene:Smp_344190	0.999999999999993	7.319814204697e-15	0.752990801382576	0.751568220358936	63.9413794531813	85.0805848874759
gene:Smp_344200	1	4.64596249873872e-17	0.986102404221402	0.986094509897031	850.713917813049	862.710468752921
gene:Smp_344210	0.956031396580268	0.043968603419732	0.882720093772173	0.882082181206967	79.4625038019299	90.0864847665173
gene:Smp_344220	8.3151113362101e-05	0.999916848886638	0.701257938434459	0.700737524957314	197.118132195067	281.305221711689
gene:Smp_344230	0.00294011703972175	0.997059882960278	0.721331752469638	0.720560002092637	127.494696111158	176.942225686774
gene:Smp_344240	0.969122469991094	0.0308775300089059	0.947313693931183	0.947222562407034	268.355413705736	283.308223569105
gene:Smp_344250	0.975676488347506	0.024323511652494	0.852587694654837	0.852518659994342	892.094708804721	1046.42423149312
gene:Smp_344270	0.983396527941045	0.016603472058955	1.03733910260209	1.03734424324651	3692.43985280158	3559.51219028619
gene:Smp_344280	0.905928707006713	0.0940712929932865	0.737570998767167	0.736939504651797	150.068939138887	203.641640591312
gene:Smp_344290	0.944891357960061	0.0551086420399392	1.13687820010283	1.1379510771954	71.1364603013096	62.5115457211548
gene:Smp_344310	0.948843080888762	0.051156919111238	0.970321200486932	0.969954294338482	38.4392616233653	39.630281864609
gene:Smp_344320	0.999999999999999	8.52594508786983e-16	1.09754598084776	1.09766891827599	426.807302259206	388.829744983915
gene:Smp_344330	0.939048983167454	0.0609510168325459	0.863045720303636	0.862088408615575	60.4293027994531	70.0980100317233
gene:Smp_344340	1.11022302462516e-16	1	1.21687501687497	1.21692219402144	2741.47618831062	2252.79317984102
gene:Smp_344350	0.999999999997616	2.38406734221407e-12	1.19234224280966	1.19260132201351	433.88315800498	363.81079241068
gene:Smp_344360	0.997678941471206	0.00232105852879368	0.916946722299156	0.916902111339243	836.523956493679	912.338162522849
gene:Smp_344370	1	2.66599357869346e-16	1.06557338926111	1.06562211801918	702.72390608183	659.448821470506
gene:Smp_344380	0.997338020802532	0.0026619791974677	0.961026208286975	0.960859993758187	110.400196299751	114.897683759323
gene:Smp_344390	0.999999999999831	1.69440407259208e-13	0.894189707450744	0.894135888237048	861.458668342331	963.455038900153
gene:Smp_344400	0.96639517103881	0.0336048289611899	0.914654029855056	0.914535027176812	321.409351907661	351.446578869252
gene:Smp_344410	0.999999999999958	4.1678839002793e-14	0.723905611667176	0.722416562354324	65.6319670311343	90.8544270519075
gene:Smp_344420	0.716632441956374	0.283367558043626	0.675887544423782	0.674920355918063	110.826426412976	164.211489900405
gene:Smp_344430	0.727809574504006	0.272190425495994	0.873553569866264	0.873536096284756	3097.77228299209	3546.24561115024
gene:Smp_344440	0.00403991913571311	0.995960080864287	0.801335321068843	0.801283557827663	1507.05096877809	1880.79855279727
gene:Smp_344450	0.261083547169818	0.738916452830182	0.845320814071966	0.845119308239773	317.90255154178	376.164758335522
gene:Smp_344460	0.96583773611224	0.03416226388776	0.8906519554218	0.890570091951781	582.944113449489	654.575325419902
gene:Smp_344470	0.999999999999993	7.4350117602695e-15	0.465343346777517	0.0171074873977293	0	0.574539375509188
gene:Smp_344480	1	1.05603770995707e-16	0.951600521805739	0.951460934015226	161.660060597058	169.907707408963
gene:Smp_344490	1	2.79615782176959e-16	0.941936994208555	0.940509906491192	18.7424326353083	19.9285806634073
gene:Smp_344500	5.40680791583092e-07	0.999999459319208	0.675737450887967	0.67540874739003	326.506055363707	483.42474470157
gene:Smp_344510	0.999999999999981	1.90880644078429e-14	1.11379035053706	1.11389019793443	622.084643415382	558.478300345022
gene:Smp_344520	0.997632186383707	0.00236781361629301	1.02888461798845	1.03137790484336	5.845413875296	5.66727294505622
gene:Smp_344530	0.964023300780876	0.0359766992191243	1.07297272304367	1.07301163810847	986.025657751631	918.932183600022
gene:Smp_344540	0.999999999999952	4.81701394941292e-14	0.752714663485009	0.751573694139207	79.8154457330833	106.201069327685
gene:Smp_344550	0.988257365830704	0.0117426341692962	0.984256177164252	0.984249555185881	1146.75137507999	1165.10241385668
gene:Smp_344560	1	1.05974670299774e-16	1.00599404836722	1.00601555831858	137.372338662351	136.550848911688
gene:Smp_344570	0.999999999999999	5.14214455769761e-16	0.825163446957485	0.819311768724547	11.9862742221247	14.6318917438471
