	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ES.RNA.juv.f.1.SmLE.PZQ.ES.RNA.juv.f.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.f.1.SmLE.PZQ.ES.RNA.adu.f.1_rsem.genes.results_Mean
gene:Smp_000020	2.22044604925031e-16	1	1.31534641215116	1.31547107978255	1323.38871159359	1006.01645845499
gene:Smp_000030	0.0127486329019056	0.987251367098094	1.12007354040232	1.12008476582757	4765.0746566028	4254.20789669831
gene:Smp_000040	3.31540528086816e-06	0.999996684594719	1.21907812980602	1.21910152022578	4541.24719332977	3725.0753337372
gene:Smp_000050	0	1	6.87574997115194	6.91026925836083	467.802341043893	67.6881349862568
gene:Smp_000070	0.000151030191045454	0.999848969808955	0.74888697878437	0.748772035270918	650.58331754755	868.870362648899
gene:Smp_000080	9.46499212339802e-10	0.999999999053501	0.10540323300786	0.10308196256346	15.7900869779391	153.266932113241
gene:Smp_000100	0	1	23.6139790655287	23.6302500814037	13061.8748721995	552.75117803251
gene:Smp_000110	0	1	0.554793895515198	0.554612835125661	542.368908698865	977.93150143672
gene:Smp_000130	0	1	4.3151840902739	4.31837250578084	1785.77041535366	413.520887611734
gene:Smp_000150	1.11022302462516e-15	0.999999999999999	1.37158802234306	1.37178886242482	1009.41441854464	735.835322989681
gene:Smp_000160	0	1	4.01676006712644	4.0240313696179	663.985495342545	164.997534572374
gene:Smp_000180	0	1	15.9501079165707	17.130166447704	86.3032715880503	5.02867092310822
gene:Smp_000190	0	1	1.66354132426764	1.66371997904792	2457.57633026984	1477.15344169661
gene:Smp_000200	0	1	0.691872117852342	0.69175273460597	710.080521939052	1026.49916493092
gene:Smp_000230	3.41282557769773e-13	0.999999999999659	1.29484684857119	1.29498304928532	1114.94260359037	860.968531113354
gene:Smp_000240	0.000214804327863249	0.999785195672137	0.819380895899995	0.819362967096881	3282.93746949381	4006.69716315842
gene:Smp_000260	0	1	3.01729366071586	3.01738056827042	27855.8710918588	9231.79900174815
gene:Smp_000270	0	1	0.00771451990138508	0.00768627456837065	107.384254587024	13972.2015872566
gene:Smp_000280	0	1	0.00975934898647831	0.00975163489042593	497.851287568255	51054.1253488378
gene:Smp_000300	0	1	4.05720382828599	4.06286184859909	873.096385023656	214.889353598427
gene:Smp_000310	0	1	0.296300166091234	0.2962225476854	1068.10019237612	3605.7593808997
gene:Smp_000320	0	1	11.6704309881326	11.6993333313594	1717.8399980493	146.823152744241
gene:Smp_000340	0	1	0.0878345290394245	0.0875119635913642	98.4134146634427	1124.67525015653
gene:Smp_000370	0	1	0.370471787923084	0.370173223812672	310.415803850432	838.586051473255
gene:Smp_000390	0	1	0.00563371800656173	0.00562509944790769	258.107333171469	45886.7046371036
gene:Smp_000420	0	1	0.0154006630632024	0.0153957865505847	1236.29972297945	80301.8127693271
gene:Smp_000430	0	1	0.00579877985110693	0.00579779915562678	2337.63469092406	403195.172892006
gene:Smp_000470	0.00230229151595973	0.99769770848404	0.604671977779488	0.60456292541466	871.634189372478	1441.76578996369
gene:Smp_000480	5.46554579372582e-10	0.999999999453445	0.689239856369007	0.68920641964367	2547.55988579314	3696.37153850956
gene:Smp_000500	6.24367224588696e-12	0.999999999993756	0.15326112528489	0.146038152905162	6.79887079499745	46.6139175143441
gene:Smp_000510	0.640526628622504	0.359473371377496	0.959688707335671	0.959650894798282	406.882226386394	423.990257376848
gene:Smp_000580	0	1	5.52455444002624	5.55788159959829	300.087256132701	53.9848990914796
gene:Smp_000590	0	1	0.467231853271941	0.467112224445868	827.358267223128	1771.23087943669
gene:Smp_000600	0	1	0.389827239691467	0.389664590221422	581.378346015134	1492.01252553861
gene:Smp_000620	0.700242603800965	0.299757396199035	1.72468056724538	1.78117779559472	9.07661154392621	5.09146239550008
gene:Smp_000630	3.53871094593838e-06	0.999996461289054	0.419884005588551	0.417838931880374	47.1300450875527	112.80869996032
gene:Smp_000640	0	1	0.508014837197083	0.50782187823427	514.950210552336	1014.04676404271
gene:Smp_000650	0	1	1.7066368643794	1.70708033579847	1081.82201896189	633.722341867715
gene:Smp_000660	0	1	0.312646909815774	0.312631737457881	5632.92956734614	18017.8010295185
gene:Smp_000670	0	1	1.81619549067649	1.81649055171276	1998.42803931896	1100.15429066182
gene:Smp_000680	0.832155493736934	0.167844506263066	1.09623826117912	1.09633369119789	439.714572771901	401.076435911173
gene:Smp_000690	0.695665431935723	0.304334568064277	0.259443415549978	0.250564521040526	8.30178201506626	33.1622223902638
gene:Smp_000700	0.05299071856543	0.94700928143457	0.882727303012251	0.882689964184225	1102.59418409537	1249.13095416774
gene:Smp_000710	0	1	0.730149268931479	0.730075046551767	1055.66793894812	1445.97551057759
gene:Smp_000720	1.54334424401492e-05	0.99998456655756	1.20113912484802	1.20119018994123	1881.72915000293	1566.55220285564
gene:Smp_000740	0.571959462545426	0.428040537454574	1.09894188953462	1.09895277435167	3972.94195226416	3615.20627224429
gene:Smp_000755	0	1	2.58656102074198	2.58719222412249	2586.36431103834	999.673860721084
