	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.adu.f.1.SmLE.PZQ.ER.RNA.adu.f.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.f.1.SmLE.PZQ.ES.RNA.adu.f.1_rsem.genes.results_Mean
gene:Smp_053940	0.0707385366545785	0.929261463345421	1.25029676605654	1.25031997129521	7201.75437851457	5759.92709118653
gene:Smp_053990	0.334079113236371	0.665920886763629	0.772634693526295	0.772513412350395	773.356520628605	1001.09432811207
gene:Smp_054010	0.98589253754096	0.0141074624590396	1.21532869994929	1.21535320287836	5703.40490947731	4692.79444233802
gene:Smp_054070	0.979235616315309	0.0207643836846912	0.939438313487149	0.939396099728554	719.672981025474	766.102379254536
gene:Smp_054120	0.391068370602897	0.608931629397103	0.858653593501267	0.858606996119899	1390.79494021892	1619.82881625012
gene:Smp_054200	0.984889473105655	0.0151105268943453	0.965989098735541	0.9659770222606	1452.74805926598	1503.91610361084
gene:Smp_054220	6.57545882480903e-05	0.999934245411752	0.797477539242793	0.797408333070456	1246.10371775177	1562.69465967361
gene:Smp_054230	0.801627843300353	0.198372156699647	0.793583224978788	0.79334545365065	367.777007762138	463.579986013953
gene:Smp_054240	0.994796865627621	0.00520313437237894	0.900099298318903	0.900095098338964	11432.9388538729	12701.9243566822
gene:Smp_054300	0.962664699184549	0.0373353008154513	0.934426969974081	0.932349411112834	15.7044489835229	16.8446778667093
gene:Smp_054310	0.989552334598778	0.0104476654012216	1.00356919318762	1.00357340198696	454.46449806599	452.84626060454
gene:Smp_054320	0.988479793828728	0.0115202061712718	0.993357034894443	0.993336215279675	169.242110373892	170.377536234384
gene:Smp_054330	0.999999998277189	1.72281114154702e-09	0.547707727593117	0.544882007684104	46.5637347108665	85.4648992517068
gene:Smp_054340	0.989304521957849	0.0106954780421512	0.945537627291661	0.94553229419301	5156.33358945206	5453.36649609618
gene:Smp_054350	0.941698613916982	0.0583013860830183	0.804575850855998	0.78939249197633	5.41565163139262	6.8631989302418
gene:Smp_054360	0.996080113017338	0.00391988698266168	1.01814605735582	1.01814867742663	3765.54498628681	3698.4233131034
gene:Smp_054410	0.985168544248612	0.0148314557513876	0.96191644688172	0.961896726413346	991.956996265299	1031.2514327778
gene:Smp_054450	0.933670358757198	0.0663296412428018	0.858260187142086	0.857893003599868	176.833994170968	206.127587588313
gene:Smp_054470	0.420191556335912	0.579808443664088	0.76753979858896	0.766698723010456	113.148418219842	147.581765609735
