	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.isoforms.results_Mean
transcript:Smp_000020.1	0	1	1.70889438547697	1.70937662926415	1322.51756612486	773.679977669918
transcript:Smp_000030.1	1.54543045027822e-13	0.999999999999845	6.04199675042761	6.09963789894591	280.808726531982	46.0285896973508
transcript:Smp_000030.2	0	1	2.1081958939303	2.1085177227163	3821.37664112605	1812.34689885648
transcript:Smp_000030.3	0.683387667236773	0.316612332763227	0.542028154213426	0.541566965255613	283.040626540157	522.641204189606
transcript:Smp_000040.1	0	1	0.795636514214611	0.795609270017723	3141.08594287695	3948.02839176858
transcript:Smp_000040.2	0.339830954542241	0.660169045457759	1.51056244030864	1.51988848159231	43.7840720346167	28.8040035042149
transcript:Smp_000050.1	0	1	0.113260851594566	0.111875899203187	37.6907207126005	336.976973790747
transcript:Smp_000050.2	0	1	17.3681362688301	17.7431573334552	407.582842332659	22.9618327281093
transcript:Smp_000070.1	0.999999999999999	6.62940247118541e-16	1.10132818329557	1.10146055908443	443.744450164295	402.868202496108
transcript:Smp_000075.1	0.999999999999995	4.62482413443653e-15	1.52139025492209	28.9633413063209	0.279633413063209	0
transcript:Smp_000080.1	0.413374388733404	0.586625611266596	1.41262369231419	1.4178799542947	58.5726072363087	41.3070431381475
transcript:Smp_000100.1	0.880608757236106	0.119391242763894	1.15326805856005	1.15327764826478	9701.34443587873	8411.97513686219
transcript:Smp_000100.2	0.00633484919791583	0.993665150802084	13.9876889965445	14.9022447557396	111.374679400281	7.46435579175954
transcript:Smp_000100.3	6.2843022263781e-07	0.999999371569777	2.16402580169925	2.1642955663443	4915.24689742871	2271.05545606017
transcript:Smp_000100.5	0	1	6.40152202195234	6.48427965260001	222.742155426218	34.342644759376
transcript:Smp_000100.6	0	1	5.87052252580324	5.96907749493653	155.248834942168	26.000524251674
transcript:Smp_000110.1	3.54884632791652e-09	0.999999996451154	1.63551124502917	1.63692469176476	387.358737176967	236.634201853506
transcript:Smp_000130.1	0.726722404687042	0.273277595312958	1.16537511912759	1.16542980766208	1854.85404032598	1591.56079056262
transcript:Smp_000150.1	0.995482469804592	0.00451753019540769	1.27172485369067	1.27193650227851	859.461529644251	675.708896426528
transcript:Smp_000160.1	0.13723121878199	0.86276878121801	0.816227249387931	0.816096824592223	605.212010918114	741.595643693717
transcript:Smp_000180.1	0	1	0.321468282746176	0.32121785883313	458.075045535115	1426.07834763788
transcript:Smp_000190.1	0.933869016325582	0.0661309836744182	1.02823634088358	1.02824767922298	1347.73825108483	1310.71335811474
transcript:Smp_000200.1	1	3.57483660869483e-16	0.924389261987804	0.92433007766565	621.511218547244	672.391811392815
transcript:Smp_000230.1	0.999999999999636	3.63929349078307e-13	1.12899795033958	1.12907745989067	964.12826935977	853.90685124343
transcript:Smp_000240.1	1.69819713846664e-12	0.999999999998302	1.2883119074426	1.28837842039692	2939.34376516379	2281.4266638167
transcript:Smp_000260.1	0.011066438246303	0.988933561753697	1.98341768049654	1.9834699347958	19646.8740198979	9905.29971769964
transcript:Smp_000270.1	5.18539655658401e-11	0.999999999948146	0.0487326481189338	0.028858379126018	0.717001720140884	25.1820496631578
transcript:Smp_000280.1	8.42215186480644e-13	0.999999999999158	0.0507398906984427	0.0455967005616424	4.41933108566588	97.1314824122602
transcript:Smp_000300.1	0.153774174380307	0.846225825619693	0.207825898488715	0.200363331680228	11.1844491525582	55.8607476996046
transcript:Smp_000300.2	0.000380751293948989	0.999619248706051	1.2260214241949	1.22631452474288	497.712099698804	405.858225203613
transcript:Smp_000310.1	0.999999999996984	3.01577470963714e-12	2.27856140160443	2.32375084486267	34.5939945505138	14.8814392552093
transcript:Smp_000310.2	0	1	0.530011965666953	0.529868150782801	911.377057286956	1720.01611581866
transcript:Smp_000310.3	0.71220584241262	0.28779415758738	1.05022441679121	1.05082340303027	46.3645671839612	44.1216467164992
transcript:Smp_000320.1	3.72237014986121e-05	0.999962776298501	0.604808308582452	0.604710323409287	1283.64081031651	2122.74325990705
transcript:Smp_000340.1	0.999999999999558	4.42140990949826e-13	1.60646776949388	1.61387044759218	69.5788413208236	43.109223990158
transcript:Smp_000370.1	0.854403284980878	0.145596715019122	1.01078891644042	1.0108110094989	259.792919243118	257.014227874124
transcript:Smp_000390.1	0	1	0.00991321458847973	0.000186652589615704	0	53.5654688460997
transcript:Smp_000420.1	3.14518212363168e-07	0.999999685481788	0.0784651131945155	0.0743402103038261	8.73125748873983	117.574513858847
transcript:Smp_000430.1	0	1	0.0245517308033671	0.0234084053206771	10.501344346365	449.03145337402
transcript:Smp_000470.1	0.155197484641171	0.844802515358829	0.541728389651009	0.537072719549354	27.8144074059701	51.7975232518177
transcript:Smp_000470.2	0.403238044039343	0.596761955960657	0.716068065944642	0.715888346153353	595.262340570852	831.505618000208
