	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.f.1.SmLE.PZQ.ER.RNA.juv.f.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ER.RNA.adu.f.1.SmLE.PZQ.ER.RNA.adu.f.1_rsem.genes.results_Mean
gene:Smp_000020	4.6308603574019e-07	0.999999536913964	1.32101996803721	1.32116275189178	1335.78003123946	1011.0615196343
gene:Smp_000030	0.896411699770441	0.103588300229559	1.01160473775448	1.01160575042485	5213.22671538941	5153.41732403404
gene:Smp_000040	0.00850896976272197	0.991491030237278	1.08266918787687	1.08267930342591	3979.07281730624	3675.20832616112
gene:Smp_000050	0	1	7.39205748774424	7.44848064587935	379.462148995951	50.9362489112974
gene:Smp_000070	0.357571965715089	0.642428034284911	0.822543187309482	0.822441764962818	647.122349539955	786.832761528789
gene:Smp_000075	0.999999999996817	3.18348391559169e-12	1.41813837963336	20.2220830152538	0.192220830152538	0
gene:Smp_000080	0	1	0.11944352830952	0.116680088280444	16.7098682163029	143.286670946256
gene:Smp_000100	0	1	19.1588876738013	19.1712268844539	12687.6257671731	661.79614540959
gene:Smp_000110	0	1	0.57448007851059	0.574269707589902	522.36096503012	909.616536322817
gene:Smp_000130	0	1	3.85157820095471	3.85457265548367	1650.70740877392	428.239135847923
gene:Smp_000150	0	1	1.50193598103108	1.50226335875292	1035.78596126872	689.480264961642
gene:Smp_000160	5.74984504453369e-13	0.999999999999425	3.06434213363451	3.07033935506917	475.267115280117	154.786281556118
gene:Smp_000180	6.26294016647932e-10	0.999999999373706	12.2324412680058	13.3886643816152	58.4822996909857	4.35879273568953
gene:Smp_000190	7.24369437055117e-06	0.999992756305629	1.68107299428515	1.68130854064164	2186.20877810627	1300.29790022154
gene:Smp_000200	0	1	0.598013192329736	0.597843890792535	638.352882214108	1067.7652036035
gene:Smp_000230	1.27871144084413e-06	0.999998721288559	1.26461819576126	1.26476522494723	1023.64826944411	809.356235924791
gene:Smp_000240	0.01817411331205	0.98182588668795	0.853832113089477	0.853817172949878	3756.5569264642	4399.72222075813
gene:Smp_000260	0	1	2.24904215519493	2.24909036742026	26203.2759278132	11650.6049807883
gene:Smp_000270	0	1	0.00831494482099313	0.00827906452814747	102.89298881974	12429.2914591065
gene:Smp_000280	0	1	0.0132970576622907	0.0132865117954225	559.031499392645	42075.8567135829
gene:Smp_000300	0	1	5.56937427867572	5.58533739177446	718.9711204378	128.716533422429
gene:Smp_000310	0	1	0.290564001819234	0.290462493222462	912.902997130163	3142.95344082873
gene:Smp_000320	0	1	10.8198340358304	10.8506889464282	1552.97085296776	143.112787929421
gene:Smp_000340	0	1	0.0849720865277587	0.0846004483238177	93.6632496046772	1107.23294564176
gene:Smp_000370	0	1	0.384927691192272	0.384572051560622	299.094312178845	777.748838597494
gene:Smp_000390	0	1	0.00741740451281659	0.00740489854603086	264.29016204398	35692.6008306573
gene:Smp_000420	0	1	0.0178010637837474	0.0177955577998518	1427.58513734563	80221.9843539798
gene:Smp_000430	0	1	0.0071980013390782	0.00719643228705137	2047.71425199134	284547.133683382
gene:Smp_000470	0.403809005800773	0.596190994199227	0.784705181376454	0.784603561901642	747.532415012322	952.754493192594
gene:Smp_000480	6.32827124036339e-15	0.999999999999994	0.577138535013735	0.577093090462638	2414.84522255982	4184.50591687558
gene:Smp_000500	0.995967857989213	0.00403214201078727	0.210170327890835	0.196069380127488	4.92882740261327	25.1791825199934
gene:Smp_000510	0.513639746954625	0.486360253045375	1.10037354700878	1.10049969742407	393.766184315495	357.805804254379
gene:Smp_000580	0	1	8.33529699204034	8.45178694825908	239.325264058503	28.3077114524641
gene:Smp_000590	0	1	0.613355469319462	0.613225311666571	819.192308114758	1335.88121735435
gene:Smp_000600	0	1	0.439064294825689	0.438888964260569	631.440112608016	1438.73684493804
gene:Smp_000620	0.999999999959849	4.01508393835592e-11	4.84202310260702	6.28535500544196	7.51406441472935	1.18707867069002
gene:Smp_000630	0.502191756423455	0.497808243576545	0.921005926489617	0.92047475896842	61.5507374640786	66.8693325012735
gene:Smp_000640	0.000773924468007614	0.999226075531992	0.69317233622641	0.693001708305549	560.402290812128	808.663750866193
gene:Smp_000650	3.86057852352906e-12	0.999999999996139	1.51745547840612	1.5178228836573	961.331428019807	633.358648193912
gene:Smp_000660	0	1	0.329589898314892	0.329572794379503	5809.30316085675	17626.7882671147
gene:Smp_000670	0	1	1.54666185101434	1.54684917204253	2030.05122342665	1312.37472380993
gene:Smp_000680	0.999968351001815	3.16489981847096e-05	1.31754355615401	1.31794609752674	467.530633762485	354.73943523098
gene:Smp_000690	0.461790501649111	0.538209498350889	0.192517855590362	0.180553974030584	5.4702050230644	30.3421706043207
gene:Smp_000700	0.139099736248314	0.860900263751686	0.80215447318197	0.802071919303112	864.422318703641	1077.73913682892
gene:Smp_000710	4.08287060493784e-07	0.99999959171294	0.743685625107659	0.743595856286387	954.792029974321	1284.02355384836
gene:Smp_000720	0.56963936486361	0.43036063513639	1.12251076713452	1.12254279745138	1930.8236720937	1720.04350395322
gene:Smp_000740	0.86194122400296	0.138058775997039	0.978329545265952	0.97832726162785	4174.96454273482	4267.45213305764
gene:Smp_000755	0.00211681620724835	0.997883183792752	1.51669241093119	1.51687351836906	1946.13008277445	1282.9843032211
gene:Smp_000790	0	1	1.88500790690836	1.88584581704499	895.735883908688	474.973625815321
gene:Smp_000810	0	1	0.348185657231259	0.347923154707036	388.500439560223	1116.64588881937
gene:Smp_000820	0	1	16.0276096326371	16.0691747304786	2612.65425119282	162.578576887981
gene:Smp_000830	0.999999999178952	8.21048105622813e-10	9.29410486809865	19.0955464738146	7.25675618027668	0.370547170526985
gene:Smp_000850	0	1	0.341091415240987	0.340992946723991	1026.11931872187	3009.22913113208
gene:Smp_000870	0.999999999999541	4.58632202620904e-13	1.15098037705489	1.1513000847746	244.493371036419	212.361539158088
gene:Smp_000880	0.000609534887179963	0.99939046511282	0.628120545413584	0.628093812693665	3929.26553506878	6255.86365399693
gene:Smp_000900	0	1	15.3763289127216	15.8696483294806	207.967343083634	13.0953529836122
gene:Smp_000910	1.1006306976924e-11	0.999999999988994	3.3317741616309	3.35994548429629	125.0563313188	37.2127263517622
gene:Smp_000950	0	1	0.0668198250091817	0.0663251205797298	56.2534922308276	848.288378337556
gene:Smp_000980	0.0136578717668351	0.986342128233165	0.787925559664392	0.787881593780616	1709.07006575124	2169.19928124528
gene:Smp_000990	1.4145500548679e-08	0.999999985854499	1.42605206036217	1.42643597337735	711.876978381306	499.05689936863
gene:Smp_001000	3.95613541925854e-11	0.999999999960439	3.0477395954616	3.05491143252529	392.248053877459	128.392430820459
gene:Smp_001020	0.0884341426717803	0.91156585732822	0.782006930923572	0.781452578742176	138.183776587726	176.832178715645
gene:Smp_001030	6.62248034188906e-12	0.999999999993378	1.47487009150806	1.47556767782756	451.705432251757	306.119931577795
gene:Smp_001040	0	1	2.71719057466037	2.71743347343591	8639.3390960282	3179.22113131622
gene:Smp_001070	2.42309741160796e-08	0.999999975769026	15.9618035399641	17.9885683510714	59.7081197051468	3.30978168243667
gene:Smp_001080	0	1	3.41761187690232	3.42455203572048	536.465475236228	156.645664635962
gene:Smp_001090	0	1	0.576983556631852	0.576781287636732	542.450383580858	940.485808738009
gene:Smp_001095	3.27344592465639e-06	0.999996726554075	0.70446980413219	0.704120033544815	267.53337923775	379.958423694512
gene:Smp_001100	0	1	13.5150606986109	13.5293446625455	5330.75954456125	394.005355327514
gene:Smp_001120	0	1	0.408693166128703	0.408131568029942	193.238614557797	473.485876564049
gene:Smp_001160	0	1	2.6503477730107	2.66234499141244	164.687941013479	61.8519831557227
gene:Smp_001170	0	1	0.426537013970162	0.426490246476999	2351.784313015	5514.28799964215
gene:Smp_001180	0	1	1.84773660483614	1.84814552545366	1722.99693425474	932.279644145747
gene:Smp_001210	0	1	0.333858337091407	0.333485783418402	268.143829716254	804.083736673085
gene:Smp_001360	0	1	0.693469942752296	0.693423489826359	2057.71566052937	2967.47767631833
gene:Smp_001390	0	1	1.99808014206423	1.99940770400659	675.981000354784	338.08562651988
gene:Smp_001410	0	1	0.264139169199222	0.264068341079846	1233.7629517709	4672.16291828954
gene:Smp_001420	7.06095182323452e-11	0.99999999992939	1.79403051217794	1.7951511204072	572.012787926971	318.638820940055
gene:Smp_001500	0	1	0.474671977929706	0.47461259484622	1888.13791651187	3978.28290038891
gene:Smp_001530	0	1	2.61787210556398	2.6197039284864	1040.48941703834	397.17206539451
gene:Smp_001560	0	1	9.23425435619317	9.33775354548977	334.076302043433	35.7680166734857
gene:Smp_001590	0.00314163300170434	0.996858366998296	0.640822751893081	0.640655628674383	619.182383262702	966.487999157375
gene:Smp_001610	0	1	13.9220696143769	14.1214571676849	411.558830925328	29.1349264787738
gene:Smp_001640	0.723904701184087	0.276095298815913	1.0099763873565	1.00998272214942	715.282640392854	708.212650453449
