	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.f.1.SmLE.PZQ.ER.RNA.juv.f.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.juv.f.1.SmLE.PZQ.ES.RNA.juv.f.1_rsem.isoforms.results_Mean
transcript:Smp_342980.1	0.83747626754956	0.16252373245044	0.894829615984763	0.894758215627985	715.0420365026	799.146715203493
transcript:Smp_342980.2	0.917849485572742	0.0821505144272582	0.976141909318727	0.974580709138966	8.07041708729617	8.28117282080737
transcript:Smp_342990.1	0.91959599504864	0.0804040049513603	0.8454243433094	0.844774539499556	109.018123762176	129.051801302351
transcript:Smp_342990.2	0.816816003537832	0.183183996462168	1.5825540618097	1.60054099265229	28.1145023675548	17.5618725710043
transcript:Smp_343020.1	0.992205499695341	0.00779450030465909	0.586840709906048	0.51761026425024	1.66595421627626	3.22786897600241
transcript:Smp_343030.1	1	8.21816022100444e-18	0.922926809935269	0.92282321274219	372.478382298586	403.630022439107
transcript:Smp_343040.1	1	1.32960880362751e-17	0.851524209517881	0.850470208588751	64.9898916786765	76.4181817543446
transcript:Smp_343050.1	0.924916858335161	0.0750831416648394	0.885719079763054	0.885574385086068	379.466683013551	428.499100313093
transcript:Smp_343060.1	0.961088603856615	0.0389113961433847	1.03667568330358	1.06335110504744	0.783199590895647	0.735943261008096
transcript:Smp_343070.1	1	5.05535962033034e-17	0.698002102694899	0.557670431006309	0.64112551437176	1.15758120597646
transcript:Smp_343080.1	1	2.06512709870673e-16	1.94495360453175	53.2133060597098	0.522133060597098	0
transcript:Smp_343090.1	0.304076818777982	0.695923181222018	0.735014184822883	0.733675370373323	78.7752742066876	107.374379233827
transcript:Smp_343100.1	0.879314420567218	0.120685579432782	0.661366850513776	0.656301700750177	23.7956247760758	36.2623801399038
transcript:Smp_343110.1	0.847150057246562	0.152849942753438	0.822438056747499	0.821999039427302	180.365862282003	219.425612002263
transcript:Smp_343120.1	0.996023501729018	0.00397649827098233	0.980465404351854	0.980463481222746	5403.37959881805	5511.04645676821
transcript:Smp_343130.1	0.960917331770368	0.0390826682296317	0.908381158396607	0.908259867132447	372.213916021069	409.810943862963
