	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.f.1.SmLE.PZQ.ER.RNA.juv.f.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ER.RNA.adu.f.1.SmLE.PZQ.ER.RNA.adu.f.1_rsem.isoforms.results_Mean
transcript:Smp_000020.1	2.85231068140046e-05	0.999971476893186	1.30817652957994	1.30832576636161	1321.06983506146	1009.73838914571
transcript:Smp_000030.1	0	1	4.86434632643734	4.89428184683444	308.925408857247	63.1117037606983
transcript:Smp_000030.2	0.900224185676555	0.0997758143234454	0.95288402202841	0.952879215856999	4567.67653604546	4793.55298262565
transcript:Smp_000030.3	0.733865247930572	0.266134752069428	0.974009524811987	0.973965523898059	281.300271862464	288.819804505388
transcript:Smp_000040.1	0.392427915410841	0.607572084589159	1.05365649714312	1.05366369356212	3841.4593704324	3645.81114189162
transcript:Smp_000040.2	5.25135490647699e-14	0.999999999999947	4.06220160567731	4.12871802347262	92.9314907524842	22.5009804603009
transcript:Smp_000050.1	0.256686630476903	0.743313369523097	0.755418701060056	0.752699745616415	33.0979590445874	43.9756121081507
transcript:Smp_000050.2	0	1	46.4633713048719	49.6918712427815	342.155083743251	6.87573553753937
transcript:Smp_000070.1	0.337153097025852	0.662846902974148	0.815375178117058	0.815260107760543	639.595671839443	784.531848363451
transcript:Smp_000075.1	0.999999999999805	1.95213031189995e-13	1.37807873213688	19.8653039305677	0.188653039305677	0
transcript:Smp_000080.1	0	1	0.117948379562805	0.114934113604038	16.4356433496924	143.07757281889
transcript:Smp_000100.1	0	1	13.5921977111982	13.603582842605	7357.08350418541	540.810281635198
transcript:Smp_000100.2	0	1	21.1313138053847	22.4280048398536	170.251217781894	7.5814562618315
transcript:Smp_000100.3	0	1	38.7158555101888	38.8792144137013	4389.21777001189	112.883941819594
transcript:Smp_000100.5	0	1	930.335927474765	46372.8353749131	463.718353749131	0
transcript:Smp_000100.6	0	1	97.5599461475231	134.633277877237	171.455717380986	1.26357604363858
transcript:Smp_000110.1	0	1	0.568916944471677	0.568684802327029	516.36839813067	908.012152196923
transcript:Smp_000130.1	0	1	3.8122516450909	3.81546633142254	1632.11224872891	427.754814824195
transcript:Smp_000150.1	0	1	1.4889270546419	1.48927460293754	1024.44567701944	687.879040072757
transcript:Smp_000160.1	4.05231403988182e-14	0.999999999999959	3.03260307396297	3.03903704116144	469.45066831275	154.466783913543
transcript:Smp_000180.1	4.12816447692421e-10	0.999999999587184	11.9900930957388	13.2210441869143	57.7086033897646	4.35566148435479
transcript:Smp_000190.1	2.59666808136716e-05	0.999974033319186	1.66298963379547	1.66323907370217	2161.6379499162	1299.65159651639
transcript:Smp_000200.1	0	1	0.592282609557475	0.592095614224361	631.252216368968	1066.13911714203
transcript:Smp_000230.1	6.13651839329599e-05	0.999938634816067	1.25250452291577	1.25265730395482	1012.31849378455	808.13480591657
transcript:Smp_000240.1	0.0131890160687483	0.986810983931252	0.84675523538291	0.846738162163141	3716.27346509919	4388.93056174968
transcript:Smp_000260.1	0	1	2.22561887939042	2.22567034331803	25918.0706692858	11645.0571803656
transcript:Smp_000270.1	0	1	0.00820130277842564	0.00816220709827032	101.239259101302	12404.6322594151
transcript:Smp_000280.1	0	1	0.0131208883174549	0.0131093956720284	550.437754127967	41988.7870352791
transcript:Smp_000300.1	0.213799177074409	0.786200822925591	0.411119708290903	0.404592841747269	17.8396607177935	44.1075890327376
transcript:Smp_000300.2	0	1	8.17676191392784	8.2183716360022	693.110882839988	84.3279824542901
transcript:Smp_000310.1	0.00895173052105613	0.991048269478944	1.7058158916669	1.71767345196247	49.984954520008	29.0962043620037
transcript:Smp_000310.2	0	1	0.263796370349897	0.263677300851688	797.175992197091	3023.32947450974
transcript:Smp_000310.3	0.371254358354126	0.628745641645874	0.662546704963693	0.660555195542989	54.7205615841522	82.8453949063449
transcript:Smp_000320.1	0	1	10.6928737251023	10.7259588652289	1536.53465876371	143.244759604275
transcript:Smp_000340.1	0	1	0.0841124918642554	0.0837076227354391	92.5838121001845	1106.14746898978
transcript:Smp_000370.1	0	1	0.382043219343402	0.381653772246124	296.110636139356	775.878141748515
transcript:Smp_000390.1	0	1	0.00732109563809794	0.007307459799689	260.115462369327	35597.2384967209
transcript:Smp_000420.1	0	1	0.0175784352373358	0.0175724330641022	1406.39610342749	80034.7864506157
transcript:Smp_000430.1	0	1	0.00710337236057025	0.00710166170981195	2015.5333609264	283812.912001289
transcript:Smp_000470.1	0.472268287840681	0.527731712159319	0.966836268266445	0.966343375336931	31.7830184786263	32.8903326250787
transcript:Smp_000470.2	0.1771065224702	0.8228934775298	0.744202330152129	0.744054711258408	630.437594833976	847.303490922879
transcript:Smp_000470.3	0.557083741546084	0.442916258453916	1.10813050052196	1.10889311464613	76.8716223648373	69.3218601670384
transcript:Smp_000480.1	0.00104205808016644	0.998957941919834	0.671965099326816	0.671810804678087	698.392292032893	1039.57180959526
transcript:Smp_000480.2	0	1	0.538224537760102	0.538152622942764	1689.68148298934	3139.78977232044
transcript:Smp_000500.1	0.999738852247706	0.000261147752293853	0.209883328831694	0.194526344455904	4.8838786035109	25.1479220141067
transcript:Smp_000510.1	0.680360915738426	0.319639084261574	1.09090465733075	1.09102914555658	389.558373874103	357.055047676035
transcript:Smp_000580.1	0	1	8.25235129018623	8.37780257035125	236.812706546106	28.2578786659659
transcript:Smp_000590.1	0	1	0.608303932787233	0.608160218162728	810.495074432473	1332.70636359418
transcript:Smp_000600.1	0	1	0.467739736020827	0.467515659635429	543.007218404668	1161.4852509358
transcript:Smp_000600.2	9.96647209206003e-13	0.999999999999003	0.29962858681268	0.298377096471615	81.6399412029095	273.63681193175
transcript:Smp_000620.1	0.999999999998357	1.64317121680096e-12	4.697099546918	6.20234127235314	7.43903540268188	1.19100379446804
transcript:Smp_000630.1	0.611980074558117	0.388019925441883	0.915180707152071	0.914558131677099	60.9161082754055	66.6080816343303
transcript:Smp_000640.1	0.000364723891040919	0.999635276108959	0.687713897925734	0.687524501702982	554.308032882019	806.242041213057
transcript:Smp_000650.1	5.78638047477043e-08	0.999999942136195	1.3300829863413	1.33035293071319	795.425953121354	597.903482022344
transcript:Smp_000650.2	0.0599446494909723	0.940055350509028	2.20557621306778	2.22305304245277	74.9744711265754	33.7204012520737
transcript:Smp_000650.3	0	1	65.0620776598439	107.101864324224	79.7944355807902	0.73512648387896
transcript:Smp_000660.1	0	1	0.326585267572803	0.326566551413503	5745.47987958361	17593.616336546
