	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.m.1.SmLE.PZQ.ER.RNA.juv.m.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.genes.results_Mean
gene:Smp_340540	0.00386791963822097	0.996132080361779	0.678442065948829	0.678248486476837	515.851052167541	760.568257752085
gene:Smp_340550	0.999999999999918	8.24768956034123e-14	0.413867236355051	0.385048942874498	3.57581311524832	9.30261643904075
gene:Smp_340560	0.986559472038159	0.0134405279618409	1.26806861169655	1.27082805371064	56.5169383656626	44.4703985878435
gene:Smp_340570	0.989355416794654	0.0106445832053462	0.981214965620067	0.98115327897763	136.794914433877	139.422764854467
gene:Smp_340580	0.99223499473574	0.00776500526426015	0.928432783723868	0.928319402031841	268.285010431007	289.001529699564
gene:Smp_340590	1	1.18773060470956e-16	0.98352741595975	0.983522255922713	1437.58674972073	1461.67197116395
gene:Smp_340600	0.997026709793319	0.00297329020668128	0.994818972593622	0.994817624240583	1750.23852223199	1759.35621907767
gene:Smp_340610	0.999490417644984	0.000509582355016009	0.954717276324755	0.954600582130477	169.599027356924	177.665386472519
gene:Smp_340620	0.999999999999997	3.28317647868661e-15	0.666368772543815	0.635770081538632	3.16400721429799	4.9823821621435
gene:Smp_340630	0.995710282045293	0.00428971795470724	0.919885570247742	0.919884167480469	24054.8172452902	26149.8337473661
gene:Smp_340650	1	3.93386421140863e-16	1.04566978397416	1.04591735244273	88.3335756244494	84.4551591429516
gene:Smp_340660	0.577193013684647	0.422806986315353	1.2588301732104	1.25930860963619	311.926945887754	247.69492594176
gene:Smp_340670	1	1.68510028516515e-16	1.0224467789693	1.02245174082109	2117.84898163824	2071.34348993339
gene:Smp_340680	0.999999999999998	1.6250944666814e-15	0.888154067828952	0.887931107152438	203.935989029542	229.676726128549
gene:Smp_340690	1	3.54098977564735e-16	0.950316346496707	0.950246966624566	311.563489775625	327.876855437577
gene:Smp_340700	0.996088246568131	0.00391175343186945	1.01677134494742	1.01677830999367	1121.01200427098	1102.51352282963
gene:Smp_340710	1	2.00390000535781e-16	0.981831539011677	0.981802247668557	278.824722455882	283.99293757528
gene:Smp_340720	0.962774687811074	0.0372253121889255	1.18055789358817	1.18082477908032	365.77083658769	309.757243259051
gene:Smp_340730	0.998791531646954	0.00120846835304636	0.961747095894247	0.961728857872251	923.588676437932	960.342462004022
gene:Smp_340740	1	4.44726117202537e-16	0.950930958600238	0.950681558403348	85.6325970978777	90.0754721971391
gene:Smp_340750	1	3.43378703302737e-16	0.972806205345421	0.972689868192991	104.09456026044	107.017495263048
gene:Smp_340760	0.999862867309952	0.000137132690047922	0.975630424577181	0.975630107204613	34301.0662807611	35157.8597986688
gene:Smp_340770	1	1.91925466879177e-16	0.986889523510259	0.986870779474748	316.042802103544	320.24753389087
gene:Smp_340780	0.990454159693979	0.00954584030602139	1.21896657058187	1.21929890187951	367.831507214205	301.672800375847
gene:Smp_340790	0.995936869354543	0.00406313064545679	1.04112479579877	1.04113655762059	1666.77979373722	1600.92292425203
gene:Smp_340800	0.994896255730869	0.00510374426913053	0.952529523773425	0.952519069258734	1980.31909330865	2079.03403934902
gene:Smp_340810	0.857825195483342	0.142174804516658	1.36383025502568	1.36611320327618	99.6758255916519	72.9603990508165
gene:Smp_340820	3.94745758303117e-09	0.999999996052542	1.99500057197708	1.99624363670224	731.612596111522	366.489650974542
gene:Smp_340830	0.994024626879911	0.00597537312008918	1.0258391863698	1.02587943989693	301.509356343971	293.903051200504
gene:Smp_340840	0.999999999999998	1.50254519785155e-15	0.920776766970111	0.914477940089039	5.25635462673886	5.74886458915138
gene:Smp_340850	0.997524526948788	0.00247547305121179	1.02558108125288	1.02558544924923	2750.11515442937	2681.50732889987
gene:Smp_340860	0.998536517008461	0.00146348299153898	1.0086210663813	1.00862309021237	1967.24027122729	1950.42152424072
gene:Smp_340870	1	3.29232287553138e-16	0.953989092995907	0.953877959445125	180.81246923125	189.555622562906
gene:Smp_340880	0.988908760396905	0.0110912396030951	1.04001091017661	1.04001600684252	3738.30820372513	3594.47141098773
