	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.adu.m.1.SmLE.PZQ.ER.RNA.adu.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.isoforms.results_Mean
transcript:Smp_000020.1	0.973179745532169	0.0268202544678314	1.07515058389799	1.07521177329279	730.513829915288	679.413205791442
transcript:Smp_000030.1	1	1.06308247158715e-17	1.2620004376868	1.26558637928984	51.1434312918436	40.4087593426435
transcript:Smp_000030.2	0.987493675880669	0.0125063241193305	1.30505805951193	1.30516427891875	2073.60432920622	1588.76649557195
transcript:Smp_000030.3	0.992316482319378	0.00768351768062247	1.11132603440393	1.11145986289062	511.467025401331	460.174881594475
transcript:Smp_000040.1	0.918587841202762	0.0814121587972377	0.937398789542784	0.937388798649385	3249.23410661999	3466.26153140894
transcript:Smp_000040.2	1	1.88761184467194e-18	0.832894344768277	0.829243931252928	20.9898194321538	25.3140556134364
transcript:Smp_000050.1	0	1	0.00190313443745538	3.38545822620865e-05	0	295.370989273022
transcript:Smp_000050.2	0	1	15.8652866673418	16.2722113988515	328.834025152079	20.1989327069147
transcript:Smp_000070.1	0.985078335065919	0.0149216649340814	1.06407372200808	1.06417391482731	376.468465406737	353.76531826443
transcript:Smp_000080.1	0.960736583394712	0.0392634166052876	0.913283025732723	0.911965231264055	33.1885328704719	36.3932879021672
transcript:Smp_000100.1	0.992684590201803	0.00731540979819673	1.0689493661815	1.06895453488848	7888.44177642022	7379.58522033669
transcript:Smp_000100.2	0.750792374652888	0.249207625347112	3.65801936728659	3.8833021473315	25.3363543312585	6.51701061355112
transcript:Smp_000100.3	0.98690932663418	0.0130906733658203	1.6672731940363	1.66745882491256	3315.82382129963	1988.54514256762
transcript:Smp_000100.5	0.863642172895778	0.136357827104222	2.14209863329307	2.16317836329297	64.8258297104627	29.9624843825473
transcript:Smp_000100.6	0.825213945897524	0.174786054102476	1.55964057848081	1.57323276097047	35.8241540426303	22.7674013684571
