	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.m.1.SmLE.PZQ.ER.RNA.juv.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.isoforms.results_Mean
transcript:Smp_303350.1	0.0668019772188712	0.933198022781129	41.5945242172023	2133.6072670203	21.326072670203	0
transcript:Smp_303360.1	0.997240625743062	0.00275937425693768	0.975983182217794	0.975958152090488	482.582391402135	494.470619244206
transcript:Smp_303370.1	0.969152557198418	0.0308474428015822	0.842056882627468	0.838273820701742	18.0259917672074	21.5056328657729
transcript:Smp_303370.2	0.919394629264196	0.0806053707358039	1.86759563320238	1.88631800555746	45.0372474585547	23.8710462105736
transcript:Smp_303380.1	0.991821044072647	0.00817895592735304	0.890695641296876	0.890631801335104	785.840493728102	882.341710942806
transcript:Smp_303390.1	1	4.82519469673811e-17	0.923143017332938	0.907351910414063	2.26584868822204	2.49823154952468
transcript:Smp_303400.1	0.99925964235401	0.000740357645989771	1.04961240591746	1.04961909196302	4013.73287897359	3823.98949630014
transcript:Smp_303410.1	0.99583565671508	0.00416434328491953	0.593134133617852	0.593053593095061	1543.92006290177	2603.34673011307
transcript:Smp_303420.1	1	4.8193465364351e-17	0.737179027701993	0.731246634243022	16.6851690240943	22.8211054605768
transcript:Smp_303430.1	0.967722569998184	0.0322774300018156	1.16219177872049	1.16263202464682	220.725732409731	189.848637754955
transcript:Smp_303450.1	0.0501045811578291	0.949895418842171	0.237647771951366	0.220377250873282	5.00318652656272	22.7382033953011
transcript:Smp_303490.1	0.995257881416752	0.00474211858324806	0.963403203544549	0.963389234584533	1300.69154223115	1350.12086667102
transcript:Smp_303500.1	0.951211515121436	0.0487884848785636	0.828592119708699	0.828589267651588	25663.067776402	30972.0032498663
transcript:Smp_303500.2	0.951211515121436	0.0487884848785636	0.828592119708699	0.828589267651588	25663.067776402	30972.0032498663
transcript:Smp_303510.1	0.976647214573351	0.023352785426649	1.01495115501777	1.01542541300126	16.4870006747312	16.236393347564
