	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ES.RNA.juv.m.1.SmLE.PZQ.ES.RNA.juv.m.1_rsem.genes.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.genes.results_Mean
gene:Smp_000020	0	1	1.69589505042193	1.69633317583924	1322.8597149378	779.830737526886
gene:Smp_000030	0	1	1.82774631543571	1.82791567476389	4386.35644558022	2399.64470297025
gene:Smp_000040	0	1	0.794798609445418	0.794773474440495	3185.69317655907	4008.30592775759
gene:Smp_000050	0.423859358024059	0.576140641975941	1.22785727262614	1.22816570686096	445.459427979692	362.701176098751
gene:Smp_000070	0.999999999999995	5.16955614992328e-15	1.09292886176348	1.09304122234681	443.837515422534	406.056584085067
gene:Smp_000075	0.999999999999953	4.73508572862616e-14	1.55783978922011	28.9464570927534	0.279464570927534	0
gene:Smp_000080	0.408475389488589	0.591524610511411	1.40131416292857	1.40604252652514	58.5812411406034	41.6610305949311
gene:Smp_000100	0.00196454643526722	0.998035453564733	1.39478808157365	1.39480597320127	15110.829784331	10833.6400378254
gene:Smp_000110	1.34739663870675e-08	0.999999986526034	1.62331125754348	1.62459426034027	387.499988844029	238.51724234226
gene:Smp_000130	0.762308372393443	0.237691627606557	1.15684139788679	1.15688940976059	1855.50518861362	1603.87294071911
gene:Smp_000150	5.47646372694999e-11	0.999999999945235	1.26212825154853	1.26231721551541	859.723714734561	681.065805801737
gene:Smp_000160	0.0996236140357006	0.900376385964299	0.810200319239425	0.810075623287112	605.371722268641	747.305071415348
gene:Smp_000180	0	1	0.319014120137494	0.318781509655852	458.197896239747	1437.36287879217
gene:Smp_000190	0.93457771120266	0.0654222887973405	1.02025254886942	1.02026007498884	1347.9595921517	1321.19194173672
gene:Smp_000200	0.999999999999992	7.60638044433385e-15	0.917385481420136	0.917325628491247	621.653137219264	677.680798023088
gene:Smp_000230	0.999999999998603	1.39683185130792e-12	1.12044292457797	1.12051163148633	964.39149370926	860.669591902141
gene:Smp_000240	4.61042315436089e-12	0.99999999999539	1.27842526373164	1.27848471050579	2939.91671829935	2299.52998991217
gene:Smp_000260	0.0138371425691731	0.986162857430827	1.96914568853039	1.96919337127684	19650.6341342122	9979.02223768754
gene:Smp_000270	3.20931059505369e-11	0.999999999967907	0.0470070394959855	0.0285722842961518	0.715200174859918	25.371245942509
gene:Smp_000280	5.45008482788489e-13	0.999999999999455	0.0500989313583792	0.0453335376805474	4.42669754017617	97.8578869370471
gene:Smp_000300	0.748059050434587	0.251940949565413	1.09354616602508	1.09364484238384	509.027533855506	465.440495561196
gene:Smp_000310	0	1	0.553784449488388	0.5536622624646	992.706310625319	1792.98977247192
gene:Smp_000320	2.04377775708808e-05	0.999979562222429	0.600288421625894	0.600196676043617	1283.84439693563	2139.04615972177
gene:Smp_000340	0.999999999995876	4.12369805827256e-12	1.59490005981123	1.60162123639885	69.5915874450209	43.4469584014233
gene:Smp_000370	0.849191166159307	0.150808833840693	1.00320647928257	1.00321255616127	259.887109686842	259.054849309027
gene:Smp_000390	0	1	0.00919618809245127	0.000185234745413046	0	53.9755521041773
gene:Smp_000420	2.51469731815668e-07	0.999999748530268	0.077759833610845	0.0739381842340686	8.75037292512055	118.472391958498
gene:Smp_000430	0	1	0.0243346679848458	0.0232761876134756	10.5239325585525	452.552624665132
gene:Smp_000470	0.401954391834183	0.598045608165817	0.723104599067035	0.722958273596856	671.681211521579	929.077107862791
gene:Smp_000480	0	1	1.66927731585552	1.66951054606497	2352.17290656749	1408.89568922225
gene:Smp_000500	0.999999999999995	4.74048280924475e-15	1.31830074118095	1.38923466540239	3.05069387594077	2.19315109618593
gene:Smp_000510	0.999999961017357	3.89826426776225e-08	0.790337633787862	0.790143190449155	418.295750172475	529.394992954112
gene:Smp_000580	0.710453055524582	0.289546944475418	0.854907864341341	0.854570635436874	180.510973483753	211.231723033775
gene:Smp_000590	1.69808611616418e-11	0.999999999983019	0.653203778027237	0.653077274525182	879.006445626864	1345.95085320217
gene:Smp_000600	0.999999999998279	1.72080657269336e-12	1.1838010151297	1.18401629499179	496.31116796385	419.174406551849
gene:Smp_000620	0.999999999999989	1.10588891139462e-14	0.625286929449889	0.603198864704922	5.01414668587386	8.3191713228466
gene:Smp_000630	0.000272466084941136	0.999727533915059	0.419555811959319	0.417188070252599	50.2032860705767	120.351270254381
gene:Smp_000640	6.33937347060964e-14	0.999999999999937	0.661659697025382	0.661412343011156	444.178884053655	671.566345296845
gene:Smp_000650	0	1	0.669191515697273	0.66908052388405	979.084703094576	1463.33360087314
gene:Smp_000660	1.87430293507873e-10	0.99999999981257	2.47425957748765	2.47447835596365	8186.77988215572	3308.48120681336
gene:Smp_000670	7.32747196252603e-15	0.999999999999993	1.90357000189943	1.90398797293232	2020.86960073072	1061.38304946258
gene:Smp_000680	7.84481446469698e-09	0.999999992155186	1.5914683953021	1.5926049617275	406.906597813349	255.493786307414
gene:Smp_000690	0.999999999999997	3.46241856609334e-15	0.914813390692696	0.904817969201547	3.77609979003484	4.17437732108246
gene:Smp_000700	1.44103617927271e-10	0.999999999855896	0.700399459491792	0.700313601077361	1199.80119322688	1713.23845238061
gene:Smp_000710	0.685391504249646	0.314608495750354	0.902184516008486	0.902142008219161	1019.22567079454	1129.78515587188
gene:Smp_000720	0	1	1.71344593135322	1.71385128294383	1481.01686899151	864.141331991648
gene:Smp_000740	3.0787810079147e-09	0.999999996921219	1.2841131367601	1.28416338552655	3564.88557601531	2776.03517944856
gene:Smp_000755	0	1	5.22691221334855	5.23775457310551	1002.5380099352	191.397977587003
gene:Smp_000790	0	1	0.698232755299392	0.69810639925714	818.564707914932	1172.55439532138
gene:Smp_000810	0.644247758290319	0.355752241709681	0.740864431940171	0.740650277676984	440.011717788861	594.091873787139
gene:Smp_000820	0.556017794212264	0.443982205787736	1.7354217962016	1.73560260210579	3466.03982297879	1997.01963038512
gene:Smp_000830	0.999999999999999	1.44508341851848e-15	0.974894336941467	0.974303102980046	20.302670726631	20.8384101759522
gene:Smp_000850	0.820170675485046	0.179829324514954	1.07562107119906	1.07565581669041	1149.40885522625	1068.56494506262
gene:Smp_000870	9.33285670967621e-11	0.999999999906671	1.49254672146821	1.49360137991402	342.466615971936	229.28586205367
gene:Smp_000880	0.448897413655223	0.551102586344777	0.877347417887502	0.877332568821587	3557.96122852967	4055.43186431908
gene:Smp_000900	0	1	0.375963972925156	0.374990277578201	117.985975796143	314.654093581828
gene:Smp_000910	1.47450454364151e-05	0.999985254954564	0.547920392077125	0.546693518411586	98.8953120816787	180.905464973954
gene:Smp_000950	0.999999999998197	1.8029712687028e-12	2.50640486957979	2.60428438965327	19.6688133729345	7.54632274690036
gene:Smp_000980	0	1	0.718146757097616	0.718082481545321	1545.99954297497	2152.95930743657
gene:Smp_000990	0	1	1.68649893285195	1.6872489550695	758.227964489448	449.3830562003
gene:Smp_001000	6.576307034456e-05	0.999934236929655	0.741249719490266	0.741084041362905	568.245611384176	766.77970220316
gene:Smp_001020	0.794688792874472	0.205311207125528	1.04790457210227	1.04805761449842	161.058637819406	153.672999475645
gene:Smp_001030	0.676858202458984	0.323141797541016	1.12195139817722	1.12206535134063	589.565148987653	525.42744291118
gene:Smp_001040	0.940077781888329	0.0599222181116712	1.05398665008822	1.053989381996	10226.2587148956	9702.4299767002
gene:Smp_001070	0.279330614788873	0.720669385211127	1.43363902556156	1.43691825961711	93.2829073515757	64.9156885192863
gene:Smp_001080	0	1	0.598901843860474	0.598617582501876	414.698490078583	692.766995198405
gene:Smp_001090	1.57231139519265e-05	0.999984276886048	1.34345869690508	1.34390046254419	512.981663826216	381.708496364717
gene:Smp_001095	0.858149215824226	0.141850784175774	0.923760624153632	0.923624101731741	253.229370334799	274.170123558913
gene:Smp_001100	0.0331720851510762	0.966827914848924	1.4484707840807	1.44852668099336	5706.01215231441	3939.18023183018
gene:Smp_001120	4.66293670342566e-15	0.999999999999995	0.580690173554909	0.580173205813635	231.031440491375	398.218387964527
gene:Smp_001160	0.999999999999999	1.35667739039465e-15	0.903764171705561	0.903388270176551	113.542777955299	125.686537916202
gene:Smp_001170	0	1	1.72940379287025	1.72969770296622	2107.5713218053	1218.45801217985
gene:Smp_001180	0	1	1.65962463454097	1.6600083146842	1401.18450666736	844.078848394667
gene:Smp_001210	0.684651006286208	0.315348993713792	1.16718958701612	1.16773606062373	175.396363222761	150.200624761447
gene:Smp_001360	0.60223267405531	0.39776732594469	0.909043777092044	0.909020683770921	1757.83430992996	1933.76812112903
gene:Smp_001390	0	1	1.61911245788936	1.61978686245951	730.065089322749	450.712935370762
gene:Smp_001410	0.266958957128934	0.733041042871066	1.36035863284041	1.36055277521412	1239.90126993822	911.319051343182
gene:Smp_001420	8.77068706550688e-09	0.999999991229313	0.764605938610616	0.764448278468093	560.36959611102	733.041027643082
