	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.juv.m.1.SmLE.PZQ.ER.RNA.juv.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ER.RNA.adu.m.1.SmLE.PZQ.ER.RNA.adu.m.1_rsem.isoforms.results_Mean
transcript:Smp_345980.1	0.605160295541558	0.394839704458442	1.32020611399751	1.41063931084085	2.85444039508108	2.02059731362062
transcript:Smp_345980.2	0.20485034236534	0.79514965763466	4.67395349563352	6.72434019140579	6.89986602759689	1.01759019188652
transcript:Smp_345980.3	1	1.14333643524284e-16	0.605803070839275	0.025662441602794	0	0.379674535057149
transcript:Smp_345990.1	0.0452526234383155	0.954747376561685	0.313309702497923	0.310424374132226	42.3585450850417	136.475883891948
transcript:Smp_346000.1	0.572583539407396	0.427416460592604	1.12910387197069	1.12931280262689	400.186624838631	354.361812581718
transcript:Smp_346010.1	0.639000916972421	0.360999083027579	0.862915738676901	0.862593475879308	210.419034803833	243.939253835158
transcript:Smp_346010.2	0.00212186420285643	0.997878135797144	1.49742515283011	1.4987941903389	312.293223417643	208.359651704499
transcript:Smp_346030.1	0	1	0.483097888601228	0.482601662002062	288.286354098883	597.369530155142
transcript:Smp_346030.2	0.000347514990459374	0.999652485009541	0.782195931398481	0.782082000020552	857.416692832146	1096.32861003017
transcript:Smp_346030.3	0.594440957952632	0.405559042047368	2.42480173863257	2.45906759285648	58.6288454345191	23.8359673108878
transcript:Smp_346040.1	0.914987542763407	0.0850124572365929	0.911728825942057	0.911676408967337	880.450220063852	965.749573685972
transcript:Smp_346040.2	0.809999405073749	0.190000594926251	0.948558402540475	0.948551210842298	3891.03136428633	4102.07886964695
transcript:Smp_346050.1	0.0440280351142126	0.955971964885787	0.490565172563586	0.481617186907138	15.7148821877973	32.6401682566184
transcript:Smp_346060.1	0.999999999999971	2.88995284974074e-14	1.56006234266449	1.56756163644731	67.1271192558046	42.8190139888617
transcript:Smp_346070.1	0	1	0.171788663272736	0.165744733880076	13.0151759392467	78.5757603697442
transcript:Smp_346080.1	1	3.61559161836531e-17	0.507042738666165	0.367996499620756	0.73819668602436	2.02316250778316
transcript:Smp_346090.1	0.64153591318713	0.35846408681287	1.09037312197604	1.09045539851491	686.889577415119	629.90992001746
transcript:Smp_346100.1	1	1.77280754341441e-17	0.732796550207388	0.632102569068181	0.951940423120907	1.51181065256381
transcript:Smp_346110.1	0.999999999995293	4.70656796144986e-12	0.734860447239827	0.734306284339	201.472062154409	274.374226924841
transcript:Smp_346120.1	0.99999999999999	1.04067053077377e-14	1.69408651069613	1.70724343651629	51.6407581431478	30.2438917639909
