	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.adu.f.1.SmLE.PZQ.ER.RNA.adu.f.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.f.1.SmLE.PZQ.ES.RNA.adu.f.1_rsem.isoforms.results_Mean
transcript:Smp_341050.1	0.991413084795677	0.00858691520432261	1.04593240608099	1.04595484202527	1245.49027548114	1190.76824915414
transcript:Smp_341060.1	0.979083179092471	0.0209168209075286	1.14465914712216	1.14491582493934	375.297437738807	327.793520192143
transcript:Smp_341060.2	0.900720242504328	0.0992797574956722	1.40163796993126	1.44728247183391	7.39722681975621	5.10802427232481
transcript:Smp_341070.1	1	1.24490591325756e-19	0.953547788956339	0.953335588764118	121.374287516259	127.315874484156
transcript:Smp_341080.1	0.998564389863733	0.0014356101362669	1.07762584219552	1.07762775888075	25385.1760046396	23556.5342662736
transcript:Smp_341090.1	0.0027050517810292	0.997294948218971	0.735747190711249	0.735077424520018	168.678519605612	229.47401621198
transcript:Smp_341090.2	0.578084309887925	0.421915690112075	0.329902402634939	0.321925915835399	15.7203505135855	48.8532624458495
transcript:Smp_341100.1	0.000242216630373826	0.999757783369626	0.815357643495624	0.815278094684869	1100.66592316585	1350.05193634001
transcript:Smp_341110.1	0.0270779415394328	0.972922058460567	1.25063980730413	1.25076384131692	1470.06882251281	1175.33483645208
transcript:Smp_341120.1	1	5.46926690793779e-20	1.01077219099288	1.01078381003532	545.054671083178	539.239506839775
transcript:Smp_341130.1	1	9.38227385328787e-18	0.58346203778447	0.023127912437619	0	0.422377977345434
transcript:Smp_341140.1	0.946469784808232	0.0535302151917681	0.883357258473109	0.87990456597733	17.2798585053306	19.6396974488664
transcript:Smp_341150.1	0.991751554848872	0.00824844515112761	0.993357466692575	0.99334844531001	425.410395656181	428.259050668735
transcript:Smp_341160.1	0.993218741801147	0.00678125819885326	1.00173562149302	1.00173676578253	883.738658575612	882.206455223394
transcript:Smp_341160.2	0.923701630314594	0.0762983696854057	1.78966763799489	1.79688212620176	114.38695146581	63.6541378962469
transcript:Smp_341170.1	0.272436793519014	0.727563206480986	0.712078842477815	0.711006066439695	110.982560823001	156.096348541845
transcript:Smp_341180.1	1.7988544412928e-06	0.999998201145559	1.35641878519295	1.35662983478047	1332.57061656772	982.262822256896
transcript:Smp_341180.2	0.382532082996149	0.617467917003851	0.684232292974526	0.684120032360742	1119.24400934584	1636.03916740057
transcript:Smp_341190.1	1	2.86281493511728e-17	4.28208173480363	195.181868085886	1.94181868085886	0
transcript:Smp_341200.1	0.977824700200428	0.0221752997995717	0.964913424396662	0.964792214035748	162.429288864672	168.357122476232
transcript:Smp_341200.2	0.966513974574641	0.0334860254253594	0.88709312200997	0.886932710255226	363.093914888576	409.382855500941
transcript:Smp_341210.1	0.952091111471129	0.0479088885288708	0.811049156837512	0.808209090576891	31.2652033966862	38.6869210830855
transcript:Smp_341220.1	0.338336221317321	0.661663778682679	0.677651962863106	0.677127736638313	242.167025589102	357.643382789223
transcript:Smp_341230.1	0.980469161215226	0.0195308387847743	1.04479419391346	1.04482969842563	766.715194927502	733.817910981876
